TREATMENT_MONTH,GEOGRAPHY_CODE,GEOGRAPHY_NAME,AGE,TREATMENT_CHARGE_BAND,VALUE,STATUS
202307,QE1,Lancashire and South Cumbria ICB,Adult,Band 1,27958,Final
202307,QE1,Lancashire and South Cumbria ICB,Adult,Band 2,138,Final
202307,QE1,Lancashire and South Cumbria ICB,Adult,Band 2a,13100,Final
202307,QE1,Lancashire and South Cumbria ICB,Adult,Band 2b,3271,Final
202307,QE1,Lancashire and South Cumbria ICB,Adult,Band 2c,239,Final
202307,QE1,Lancashire and South Cumbria ICB,Adult,Band 3,2975,Final
202307,QE1,Lancashire and South Cumbria ICB,Adult,Other,370,Final
202307,QE1,Lancashire and South Cumbria ICB,Adult,Urgent Treatment,9835,Final
202307,QE1,Lancashire and South Cumbria ICB,All,Band 1,48547,Final
202307,QE1,Lancashire and South Cumbria ICB,All,Band 2,180,Final
202307,QE1,Lancashire and South Cumbria ICB,All,Band 2a,17702,Final
202307,QE1,Lancashire and South Cumbria ICB,All,Band 2b,5225,Final
202307,QE1,Lancashire and South Cumbria ICB,All,Band 2c,277,Final
202307,QE1,Lancashire and South Cumbria ICB,All,Band 3,3107,Final
202307,QE1,Lancashire and South Cumbria ICB,All,Other,378,Final
202307,QE1,Lancashire and South Cumbria ICB,All,Urgent Treatment,11560,Final
202307,QE1,Lancashire and South Cumbria ICB,Child,Band 1,20589,Final
202307,QE1,Lancashire and South Cumbria ICB,Child,Band 2,42,Final
202307,QE1,Lancashire and South Cumbria ICB,Child,Band 2a,4602,Final
202307,QE1,Lancashire and South Cumbria ICB,Child,Band 2b,1954,Final
202307,QE1,Lancashire and South Cumbria ICB,Child,Band 2c,38,Final
202307,QE1,Lancashire and South Cumbria ICB,Child,Band 3,132,Final
202307,QE1,Lancashire and South Cumbria ICB,Child,Other,8,Final
202307,QE1,Lancashire and South Cumbria ICB,Child,Urgent Treatment,1725,Final
202307,QF7,South Yorkshire ICB,Adult,Band 1,34328,Final
202307,QF7,South Yorkshire ICB,Adult,Band 2,124,Final
202307,QF7,South Yorkshire ICB,Adult,Band 2a,14915,Final
202307,QF7,South Yorkshire ICB,Adult,Band 2b,3965,Final
202307,QF7,South Yorkshire ICB,Adult,Band 2c,186,Final
202307,QF7,South Yorkshire ICB,Adult,Band 3,2867,Final
202307,QF7,South Yorkshire ICB,Adult,Other,384,Final
